Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0
Portugal,Senhora Do Mar (Negras Águas),Vânia Fernandes,Final,2008,69.0,13,13,Belgrade ,Georgia,Norway,Croatia,Romania,Denmark,Russia,Iceland,Latvia,Spain,Ukraine
Romania,Pe-o Margine De Lume,Nico & Vlad,Final,2008,45.0,1,20,Belgrade ,Croatia,Azerbaijan,Ukraine,Armenia,Norway,Israel,Serbia,Turkey,Russia,Greece
Russia,Believe,Dima Bilan,Final,2008,272.0,24,1,Belgrade ,Croatia,Turkey,Greece,Serbia,Norway,Israel,Georgia,Ukraine,Azerbaijan,Armenia
Serbia,Oro,Jelena Tomašević feat. Bora Dugic,Final,2008,160.0,23,6,Belgrade ,Portugal,Sweden,Croatia,Norway,Armenia,Ukraine,Israel,Greece,Russia,Bosnia & Herzegovina
Spain,Baila El Chiki Chiki,Rodolfo Chikilicuatre,Final,2008,55.0,22,16,Belgrade ,Sweden,Latvia,Greece,Iceland,Russia,Norway,Ukraine,Portugal,Armenia,Romania
Sweden,Hero,Charlotte Perrelli,Final,2008,47.0,15,18,Belgrade ,Greece,Armenia,Latvia,France,Denmark,Serbia,Finland,Iceland,Bosnia & Herzegovina,Norway
Turkey,Deli,Mor ve Ötesi,Final,2008,138.0,12,7,Belgrade ,Albania,Norway,Spain,Georgia,Russia,Bosnia & Herzegovina,Greece,Ukraine,Armenia,Azerbaijan
Ukraine,Shady Lady,Ani Lorak,Final,2008,230.0,18,2,Belgrade ,Croatia,Greece,Portugal,Turkey,Israel,Norway,Armenia,Georgia,Azerbaijan,Russia
United Kingdom,Even If,Andy Abraham,Final,2008,14.0,2,25,Belgrade ,Spain,France,Denmark,Poland,Ukraine,Iceland,Norway,Turkey,Latvia,Greece
Albania,Carry Me In Your Dreams,Kejsi Tola,Final,2009,48.0,19,17,Moscow ,Sweden,France,Germany,Azerbaijan,Bosnia & Herzegovina,Iceland,Norway,United Kingdom,Turkey,Greece
Armenia,Jan Jan,Inga & Anush,Final,2009,92.0,9,10,Moscow ,Azerbaijan,Moldova,Ukraine,Turkey,Iceland,France,United Kingdom,Norway,Greece,Russia
Azerbaijan,Always,AySel & Arash,Final,2009,207.0,11,3,Moscow ,Lithuania,Bosnia & Herzegovina,Romania,Estonia,Croatia,Russia,Moldova,Norway,Ukraine,Turkey
Bosnia & Herzegovina,Bistra Voda,Regina,Final,2009,106.0,12,9,Moscow ,Portugal,Germany,Azerbaijan,United Kingdom,Greece,France,Turkey,Israel,Norway,Croatia
Croatia,Lijepa Tena,Igor Cukrov feat. Andrea,Final,2009,45.0,5,18,Moscow ,Turkey,Iceland,Moldova,United Kingdom,Albania,Estonia,Greece,Norway,Azerbaijan,Bosnia & Herzegovina
Denmark,Believe Again,Brinck,Final,2009,74.0,16,13,Moscow ,Lithuania,France,United Kingdom,Sweden,Estonia,Turkey,Germany,Azerbaijan,Iceland,Norway
Estonia,Rändajad,Urban Symphony,Final,2009,129.0,15,6,Moscow ,Albania,Lithuania,Portugal,Finland,Israel,Sweden,Azerbaijan,Iceland,Russia,Norway
Finland,Lose Control,Waldo's People,Final,2009,22.0,24,25,Moscow ,Armenia,Azerbaijan,Malta,France,Turkey,Bosnia & Herzegovina,Sweden,Norway,Iceland,Estonia
France,Et S'il Fallait Le Faire,Patricia Kaas,Final,2009,107.0,3,8,Moscow ,Azerbaijan,Sweden,Germany,United Kingdom,Denmark,Armenia,Portugal,Norway,Israel,Turkey
Germany,Miss Kiss Kiss Bang,Alex Swings Oscar Sings!,Final,2009,35.0,17,20,Moscow ,Estonia,Bosnia & Herzegovina,France,Malta,Russia,Greece,Iceland,United Kingdom,Turkey,Norway
Greece,This Is Our Night,Sakis Rouvas,Final,2009,120.0,8,7,Moscow ,Spain,Croatia,Turkey,Iceland,Estonia,France,Albania,Azerbaijan,Norway,United Kingdom
Iceland,Is It True?,Yohanna,Final,2009,218.0,7,2,Moscow ,Croatia,Bosnia & Herzegovina,Sweden,Denmark,Armenia,France,Portugal,Finland,Estonia,Norway
Israel,There Must Be Another Way,Noa & Mira Awad,Final,2009,53.0,2,16,Moscow ,Moldova,Ukraine,Turkey,United Kingdom,France,Azerbaijan,Russia,Armenia,Iceland,Norway
Lithuania,Love,Sasha Son,Final,2009,23.0,1,23,Moscow ,Malta,Denmark,United Kingdom,Ukraine,Azerbaijan,France,Russia,Iceland,Estonia,Norway
Malta,What If We,Chiara,Final,2009,31.0,14,22,Moscow ,Azerbaijan,Ukraine,Finland,Sweden,Turkey,Denmark,Greece,Norway,United Kingdom,Iceland
Moldova,Hora Din Moldova,Nelly Ciobanu,Final,2009,69.0,13,14,Moscow ,United Kingdom,Croatia,Iceland,Ukraine,Denmark,Russia,Estonia,Norway,Azerbaijan,Romania
Norway,Fairytale,Alexander Rybak,Final,2009,387.0,20,1,Moscow ,France,United Kingdom,Moldova,Sweden,Ukraine,Germany,Turkey,Denmark,Azerbaijan,Iceland
Portugal,Todas As Ruas Do Amor,Flor-de-lis,Final,2009,57.0,6,15,Moscow ,Germany,Romania,Turkey,Armenia,Norway,Ukraine,Spain,Iceland,United Kingdom,Moldova
Romania,The Balkan Girls,Elena,Final,2009,40.0,22,19,Moscow ,Estonia,Denmark,Malta,Azerbaijan,Norway,Turkey,Armenia,Greece,Iceland,Moldova
Russia,Mamo,Anastasia Prikhodko,Final,2009,91.0,10,11,Moscow ,Moldova,Ukraine,Iceland,Greece,Armenia,United Kingdom,Azerbaijan,Estonia,France,Norway
Spain,La Noche Es Para Mí,Soraya,Final,2009,23.0,25,24,Moscow ,Greece,Turkey,France,Armenia,Moldova,Ukraine,Romania,Portugal,United Kingdom,Norway
Sweden,La Voix,Malena Ernman,Final,2009,33.0,4,21,Moscow ,Albania,Greece,Armenia,Finland,Bosnia & Herzegovina,Turkey,Estonia,Azerbaijan,Iceland,Norway
Turkey,Düm Tek Tek,Hadise,Final,2009,177.0,18,4,Moscow ,Germany,Iceland,Norway,Russia,Romania,Armenia,Moldova,Bosnia & Herzegovina,Albania,Azerbaijan
Ukraine,Be my Valentine! (Anti-crisis Girl),Svetlana Loboda,Final,2009,76.0,21,12,Moscow ,Israel,Armenia,France,Estonia,Denmark,United Kingdom,Moldova,Russia,Azerbaijan,Norway
United Kingdom,It's My Time,Jade Ewen,Final,2009,173.0,23,5,Moscow ,France,Ukraine,Azerbaijan,Lithuania,Greece,Malta,Germany,Iceland,Norway,Turkey
Albania,It's All About You,Juliana Pasha,Final,2010,62.0,15,16,Oslo ,United Kingdom,Denmark,Serbia,Israel,Romania,Bosnia & Herzegovina,Spain,Turkey,Germany,Greece
Armenia,Apricot Stone,Eva Rivas,Final,2010,141.0,21,7,Oslo ,Romania,Norway,Greece,Portugal,Denmark,France,Spain,Ukraine,Russia,Georgia
Azerbaijan,Drip Drop,Safura,Final,2010,145.0,1,5,Oslo ,Germany,United Kingdom,Russia,Denmark,Israel,Moldova,Romania,Georgia,Ukraine,Turkey
Belarus,Butterflies,3+2,Final,2010,18.0,9,24,Oslo ,Romania,Iceland,Turkey,Moldova,Armenia,Azerbaijan,Georgia,Israel,Ukraine,Russia
Belgium,Me And My Guitar,Tom Dice,Final,2010,143.0,7,6,Oslo ,Spain,Denmark,Albania,Georgia,Azerbaijan,Turkey,Armenia,Iceland,Germany,Greece
Bosnia & Herzegovina,Thunder and Lightning,Vukašin Brajić,Final,2010,51.0,6,17,Oslo ,Israel,Romania,France,Georgia,Albania,Greece,Azerbaijan,Germany,Turkey,Serbia
Cyprus,Life Looks Better In Spring,Jon Lilygreen & The Islanders,Final,2010,27.0,5,21,Oslo ,Serbia,Israel,France,Germany,Georgia,Ukraine,Armenia,Romania,Azerbaijan,Greece
Denmark,In A Moment Like This,Chanée & N'evergreen,Final,2010,149.0,25,4,Oslo ,Cyprus,Azerbaijan,Iceland,Portugal,Norway,Turkey,France,Romania,Belgium,Germany
France,Allez Olla Olé,Jessy Matador,Final,2010,82.0,18,12,Oslo ,Israel,Ukraine,Germany,Greece,Bosnia & Herzegovina,Armenia,Belgium,Portugal,Serbia,Turkey
Georgia,Shine,Sofia Nizharadze,Final,2010,136.0,13,9,Oslo ,Moldova,Spain,United Kingdom,Israel,Turkey,Norway,Ukraine,Azerbaijan,Armenia,Belarus
Germany,Satellite,Lena,Final,2010,246.0,22,1,Oslo ,Albania,Ireland,France,Iceland,Serbia,Portugal,Armenia,Greece,Turkey,Belgium
Greece,OPA,Giorgos Alkaios & Friends,Final,2010,140.0,11,8,Oslo ,Azerbaijan,Germany,Iceland,Romania,Georgia,Belgium,Armenia,France,Albania,Cyprus
Iceland,Je Ne Sais Quoi,Hera Björk,Final,2010,41.0,16,19,Oslo ,Portugal,Georgia,Germany,Azerbaijan,Romania,France,Albania,Greece,Belgium,Denmark
Ireland,It's For You,Niamh Kavanagh,Final,2010,25.0,10,23,Oslo ,Turkey,Norway,Azerbaijan,United Kingdom,Georgia,France,Romania,Germany,Belgium,Denmark
Israel,Milim,Harel Skaat,Final,2010,71.0,24,14,Oslo ,Spain,Ukraine,France,Denmark,Georgia,Ireland,Azerbaijan,Romania,Russia,Armenia
Moldova,Run Away,Sunstroke Project & Olia Tira,Final,2010,27.0,4,22,Oslo ,Israel,Greece,Belarus,Spain,Georgia,Armenia,Azerbaijan,Ukraine,Russia,Romania
Norway,My Heart Is Yours,Didrik Solli-Tangen,Final,2010,35.0,3,20,Oslo ,Georgia,Turkey,Belgium,France,Israel,Iceland,Azerbaijan,Denmark,Romania,Germany
Portugal,Há Dias Assim,Filipa Azevedo,Final,2010,43.0,23,18,Oslo ,Germany,Russia,Norway,Denmark,Belgium,Moldova,France,Greece,Romania,Spain
Romania,Playing With Fire,Paula Seling & Ovi,Final,2010,162.0,19,3,Oslo ,Albania,Spain,Germany,Belgium,Ukraine,Armenia,Greece,Turkey,Moldova,Denmark
Russia,Lost And Forgotten,Peter Nalitch & Friends,Final,2010,90.0,20,11,Oslo ,Denmark,Belarus,Romania,Spain,Belgium,Germany,Ukraine,Azerbaijan,Georgia,Armenia
Serbia,Ovo Je Balkan,Milan Stanković,Final,2010,72.0,8,13,Oslo ,Armenia,Portugal,Turkey,France,Belgium,Romania,Ukraine,Germany,Greece,Bosnia & Herzegovina
Spain,Algo Pequeñito,Daniel Diges,Final,2010,68.0,2,15,Oslo ,Georgia,France,Turkey,Denmark,Greece,Portugal,Azerbaijan,Armenia,Romania,Germany
Turkey,We Could Be The Same,maNga,Final,2010,170.0,14,2,Oslo ,Ukraine,Romania,Greece,Russia,Georgia,Armenia,Albania,Bosnia & Herzegovina,Germany,Azerbaijan
Ukraine,Sweet People,Alyosha,Final,2010,108.0,17,10,Oslo ,Belgium,Romania,Israel,Spain,Germany,Armenia,Georgia,Turkey,Russia,Azerbaijan
United Kingdom,That Sounds Good To Me,Josh,Final,2010,10.0,12,25,Oslo ,Albania,France,Israel,Germany,Ukraine,Denmark,Ireland,Romania,Turkey,Greece
Austria,The Secret Is Love,Nadine Beiler,Final,2011,64.0,18,18,D,Romania,Hungary,Slovenia,Ireland,Moldova,Italy,Serbia,Azerbaijan,Germany,Bosnia & Herzegovina
Azerbaijan,Running Scared,Ell/Nikki,Final,2011,221.0,19,1,D,Italy,Hungary,Sweden,Russia,United Kingdom,Romania,Moldova,Greece,Georgia,Ukraine
Bosnia & Herzegovina,Love In Rewind,Dino Merlin,Final,2011,125.0,2,6,D,Iceland,Ireland,Germany,France,Sweden,Italy,Austria,Azerbaijan,Serbia,Slovenia
Denmark,New Tomorrow,A Friend In London,Final,2011,134.0,3,5,D,Austria,Estonia,United Kingdom,Romania,Finland,Iceland,Slovenia,Germany,Sweden,Ireland
Estonia,Rockefeller Street,Getter Jaani,Final,2011,44.0,8,24,D,Romania,Slovenia,Georgia,Spain,Russia,Italy,Finland,Azerbaijan,Denmark,Sweden
Finland,Da Da Dam,Paradise Oskar,Final,2011,57.0,1,21,D,Austria,Serbia,Italy,France,Azerbaijan,Sweden,Estonia,Iceland,Ireland,Hungary
France,Sognu,Amaury Vassili,Final,2011,82.0,11,15,D,United Kingdom,Hungary,Germany,Moldova,Bosnia & Herzegovina,Azerbaijan,Denmark,Italy,Sweden,Spain
Georgia,One More Day,Eldrine,Final,2011,110.0,25,9,D,Sweden,France,Austria,Russia,Moldova,Greece,Italy,Azerbaijan,Ukraine,Lithuania
Germany,Taken By A Stranger,Lena,Final,2011,107.0,16,10,D,Slovenia,Finland,Italy,Moldova,Russia,Denmark,Bosnia & Herzegovina,Ireland,Greece,Austria
Greece,Watch My Dance,Loucas Yiorkas feat. Stereo Mike,Final,2011,120.0,9,7,D,Russia,United Kingdom,Bosnia & Herzegovina,Germany,Azerbaijan,Sweden,Ukraine,Georgia,Italy,France
Hungary,What About My Dreams?,Kati Wolf,Final,2011,53.0,5,22,D,Romania,Austria,Russia,Italy,Georgia,Slovenia,Azerbaijan,Greece,Sweden,Iceland
Iceland,Coming Home,Sjonni's Friends,Final,2011,61.0,21,20,D,Russia,United Kingdom,Italy,Ireland,Hungary,Germany,Sweden,Azerbaijan,Finland,Denmark
Ireland,Lipstick,Jedward,Final,2011,119.0,6,8,D,Romania,Slovenia,Finland,Sweden,Italy,United Kingdom,Estonia,Moldova,Lithuania,Denmark
Italy,Madness Of Love,Raphael Gualazzi,Final,2011,189.0,12,2,D,France,Greece,Serbia,Bosnia & Herzegovina,Iceland,Germany,Ukraine,Moldova,United Kingdom,Romania
Lithuania,C'est Ma Vie,Evelina Sašenko,Final,2011,63.0,4,19,D,Finland,Germany,United Kingdom,Moldova,Serbia,Russia,Estonia,Azerbaijan,Italy,Georgia
Moldova,So Lucky,Zdob și Zdub,Final,2011,97.0,15,12,D,Greece,France,Sweden,United Kingdom,Russia,Estonia,Georgia,Ukraine,Azerbaijan,Romania
Romania,Change,Hotel FM,Final,2011,77.0,17,17,D,Lithuania,Ukraine,Sweden,Slovenia,Spain,Italy,Hungary,Greece,Azerbaijan,Moldova
Russia,Get You,Alexej Vorobjov,Final,2011,77.0,10,16,D,Sweden,Lithuania,France,United Kingdom,Slovenia,Georgia,Moldova,Greece,Ukraine,Azerbaijan
Serbia,Čaroban,Nina,Final,2011,85.0,24,14,D,Sweden,Italy,Greece,Russia,Switzerland,Ukraine,Lithuania,Hungary,Slovenia,Bosnia & Herzegovina
Slovenia,No One,Maja Keuc,Final,2011,96.0,20,13,D,United Kingdom,Spain,Italy,Sweden,Austria,Ukraine,Germany,Denmark,Serbia,Bosnia & Herzegovina
Spain,Que Me Quiten Lo Bailao,Lucía Pérez,Final,2011,50.0,22,23,D,Lithuania,Iceland,Germany,Serbia,Sweden,Hungary,Ireland,Romania,France,Italy
Sweden,Popular,Eric Saade,Final,2011,185.0,7,3,D,Iceland,Ukraine,Azerbaijan,Austria,Hungary,Germany,Finland,Bosnia & Herzegovina,Denmark,Ireland
Switzerland,In Love For A While,Anna Rossinelli,Final,2011,19.0,13,25,D,Azerbaijan,Greece,Spain,Italy,Finland,Serbia,Austria,Germany,Iceland,Bosnia & Herzegovina
Ukraine,Angel,Mika Newton,Final,2011,159.0,23,4,D,Sweden,Estonia,United Kingdom,Hungary,France,Greece,Moldova,Russia,Azerbaijan,Georgia
United Kingdom,I Can,Blue,Final,2011,100.0,14,11,D,Spain,Austria,Sweden,Iceland,Denmark,Lithuania,Italy,Moldova,Switzerland,Ireland
Albania,Suus,Rona Nishliu,Final,2012,146.0,3,5,Baku ,Serbia,Germany,Russia,Azerbaijan,Sweden,Cyprus,Italy,North Macedonia,Turkey,Greece
Azerbaijan,When The Music Dies,Sabina Babayeva,Final,2012,150.0,13,4,Baku ,Ireland,Cyprus,Ukraine,Lithuania,Greece,Romania,Sweden,Malta,Russia,Turkey
Bosnia & Herzegovina,Korake Ti Znam,Maya Sar,Final,2012,55.0,5,18,Baku ,Greece,France,Russia,Turkey,Spain,Albania,Azerbaijan,Sweden,Serbia,North Macedonia
Cyprus,La La Love,Ivi Adamou,Final,2012,65.0,8,16,Baku ,Iceland,Italy,Romania,Albania,Russia,Spain,Serbia,Azerbaijan,Sweden,Greece
Denmark,Should've Known Better,Soluna Samay,Final,2012,21.0,15,23,Baku ,Romania,Turkey,Italy,Ireland,Albania,Iceland,Moldova,Russia,Germany,Sweden
Estonia,Kuula,Ott Lepland,Final,2012,120.0,11,6,Baku ,Ukraine,Denmark,Lithuania,Spain,United Kingdom,Iceland,Italy,Russia,Germany,Sweden
France,Echo (You And I),Anggun,Final,2012,21.0,9,22,Baku ,Italy,Romania,Lithuania,Russia,Turkey,Spain,Germany,Serbia,Estonia,Sweden
Germany,Standing Still,Roman Lob,Final,2012,110.0,20,8,Baku ,Greece,Italy,Iceland,Estonia,Denmark,Albania,Russia,Turkey,Serbia,Sweden
Greece,Aphrodisiac,Eleftheria Eleftheriou,Final,2012,64.0,16,17,Baku ,Ukraine,Moldova,Italy,Russia,Azerbaijan,Sweden,Romania,Serbia,Albania,Cyprus
Hungary,Sound Of Our Hearts,Compact Disco,Final,2012,19.0,2,24,Baku ,Spain,Moldova,Turkey,Serbia,Italy,Iceland,Russia,Albania,Germany,Sweden
Iceland,Never Forget,Greta Salóme & Jónsi,Final,2012,46.0,7,20,Baku ,Norway,Spain,Serbia,Ireland,Denmark,France,Russia,Cyprus,Estonia,Sweden
Ireland,Waterline,Jedward,Final,2012,46.0,23,19,Baku ,Azerbaijan,Italy,Ukraine,United Kingdom,Romania,Russia,Lithuania,Estonia,Germany,Sweden
Italy,L'Amore È Femmina (Out Of Love),Nina Zilli,Final,2012,101.0,10,9,Baku ,North Macedonia,Denmark,Ukraine,Moldova,Cyprus,Serbia,Romania,Germany,Russia,Albania
Lithuania,Love Is Blind,Donny Montell,Final,2012,70.0,4,14,Baku ,Turkey,Ukraine,Germany,Italy,Serbia,Russia,Malta,Estonia,Sweden,Azerbaijan
Malta,This Is The Night,Kurt Calleja,Final,2012,41.0,21,21,Baku ,Albania,Germany,Russia,Lithuania,Serbia,Sweden,Ukraine,Turkey,Italy,Azerbaijan
Moldova,Lăutar,Pasha Parfeny,Final,2012,81.0,26,11,Baku ,Hungary,Estonia,Serbia,Greece,Italy,Russia,Sweden,Ukraine,Azerbaijan,Romania
North Macedonia,Crno I Belo,Kaliopi,Final,2012,71.0,22,13,Baku ,Malta,Azerbaijan,Ukraine,Russia,Italy,Sweden,Bosnia & Herzegovina,Turkey,Serbia,Albania
Norway,Stay,Tooji,Final,2012,7.0,12,26,Baku ,Ukraine,Denmark,Germany,Italy,Iceland,Lithuania,Estonia,Russia,Serbia,Sweden
Romania,Zaleilah,Mandinga,Final,2012,71.0,14,12,Baku ,Albania,Cyprus,Turkey,Russia,Serbia,Spain,Hungary,Greece,Sweden,Moldova
Russia,Party For Everybody,Buranovskiye Babushki,Final,2012,259.0,6,2,Baku ,Romania,Cyprus,Greece,Serbia,Lithuania,Estonia,Moldova,Ukraine,Azerbaijan,Sweden
Serbia,Nije Ljubav Stvar,Željko Joksimović,Final,2012,214.0,24,3,Baku ,Albania,Hungary,Azerbaijan,Greece,Bosnia & Herzegovina,Malta,Russia,Cyprus,Sweden,North Macedonia
Spain,Quédate Conmigo,Pastora Soler,Final,2012,97.0,19,10,Baku ,Italy,Ukraine,Germany,Iceland,Cyprus,Estonia,Moldova,Russia,Romania,Sweden
Sweden,Euphoria,Loreen,Final,2012,372.0,17,1,Baku ,Albania,France,Norway,Spain,Ireland,Turkey,Russia,Estonia,Serbia,Cyprus
Turkey,Love Me Back,Can Bonomo,Final,2012,112.0,18,7,Baku ,Hungary,Malta,Greece,Romania,Albania,Sweden,Russia,North Macedonia,Bosnia & Herzegovina,Azerbaijan
Ukraine,Be My Guest,Gaitana,Final,2012,65.0,25,15,Baku ,Estonia,Serbia,North Macedonia,Italy,Greece,Sweden,Malta,Moldova,Russia,Azerbaijan
United Kingdom,Love Will Set You Free,Engelbert Humperdinck,Final,2012,12.0,1,25,Baku ,Turkey,Azerbaijan,Russia,Estonia,Malta,Germany,Lithuania,Spain,Ireland,Sweden
Armenia,Lonely Planet,Dorians,Final,2013,41.0,12,18,Malm,Italy,France,Norway,Denmark,Belarus,Malta,Russia,Greece,Georgia,Ukraine
Azerbaijan,Hold Me,Farid Mammadov,Final,2013,234.0,20,2,Malm,Moldova,Norway,Lithuania,Greece,Denmark,Romania,Belarus,Malta,Georgia,Ukraine
Belarus,Solayoh,Alyona Lanskaya,Final,2013,48.0,8,16,Malm,Denmark,Armenia,Norway,Moldova,Lithuania,Greece,Malta,Russia,Azerbaijan,Ukraine
Belgium,Love Kills,Roberto Bellarosa,Final,2013,71.0,6,12,Malm,Sweden,Greece,Moldova,Russia,Azerbaijan,Italy,Norway,Ukraine,Denmark,Netherlands
Denmark,Only Teardrops,Emmelie de Forest,Final,2013,281.0,18,1,Malm,Iceland,Finland,Ukraine,Malta,Belgium,Greece,Russia,Sweden,Netherlands,Norway
Estonia,Et Uus Saaks Alguse,Birgit,Final,2013,19.0,7,20,Malm,Sweden,Belgium,Norway,Hungary,Malta,Iceland,Netherlands,Denmark,Ukraine,Russia
Finland,Marry Me,Krista Siegfrids,Final,2013,13.0,4,24,Malm,Greece,Russia,Belgium,Sweden,Iceland,Estonia,Denmark,Netherlands,Hungary,Norway
France,L'enfer Et Moi,Amandine Bourgeois,Final,2013,14.0,1,23,Malm,Romania,Malta,Finland,Moldova,Belgium,Russia,Armenia,Azerbaijan,Italy,Denmark
Georgia,Waterfall,Nodi Tatishvili & Sophie Gelovani,Final,2013,50.0,25,15,Malm,Lithuania,Italy,Malta,Norway,Belarus,Russia,Denmark,Ukraine,Armenia,Azerbaijan
Germany,Glorious,Cascada,Final,2013,18.0,11,21,Malm,Finland,Russia,Sweden,Azerbaijan,Malta,Greece,Norway,Iceland,Denmark,Hungary
Greece,Alcohol Is Free,Koza Mostra feat. Agathon Iakovidis,Final,2013,152.0,21,6,Malm,Belarus,Hungary,Malta,Norway,Georgia,Italy,Denmark,Ukraine,Romania,Azerbaijan
Hungary,Kedvesem,ByeAlex,Final,2013,84.0,17,10,Malm,Greece,Norway,Armenia,Belgium,Netherlands,Iceland,Ukraine,Malta,Denmark,Azerbaijan
Iceland,Ég Á Líf,Eythor Ingi,Final,2013,47.0,19,17,Malm,Russia,France,Ukraine,Sweden,Malta,Romania,Azerbaijan,Netherlands,Norway,Denmark
Ireland,Only Love Survives,Ryan Dolan,Final,2013,5.0,26,26,Malm,Lithuania,Azerbaijan,Moldova,Belgium,Sweden,Netherlands,United Kingdom,Ukraine,Russia,Denmark
Italy,L'Essenziale,Marco Mengoni,Final,2013,126.0,23,7,Malm,Romania,Spain,Hungary,Moldova,Ukraine,Lithuania,Greece,Norway,Malta,Denmark
Lithuania,Something,Andrius Pojavis,Final,2013,17.0,2,22,Malm,Belarus,Denmark,Estonia,Netherlands,Hungary,Norway,Russia,Georgia,Ukraine,Azerbaijan
Malta,Tomorrow,Gianluca,Final,2013,120.0,9,8,Malm,Armenia,Belarus,Norway,Greece,United Kingdom,Denmark,Romania,Italy,Ukraine,Azerbaijan
Moldova,O Mie,Aliona Moon,Final,2013,71.0,3,11,Malm,Armenia,Norway,Georgia,Belarus,Sweden,Denmark,Russia,Azerbaijan,Romania,Ukraine
Netherlands,Birds,Anouk,Final,2013,114.0,13,9,Malm,Greece,Azerbaijan,Sweden,Russia,Ukraine,Norway,Hungary,Malta,Denmark,Belgium
Norway,I Feed You My Love,Margaret Berger,Final,2013,191.0,24,4,Malm,Ukraine,Hungary,Belgium,Iceland,Greece,Romania,Denmark,Netherlands,Malta,Sweden
Romania,It's My Life,Cezar,Final,2013,65.0,14,13,Malm,Italy,Netherlands,United Kingdom,Ukraine,Malta,Denmark,Greece,Norway,Azerbaijan,Moldova
Russia,What If,Dina Garipova,Final,2013,174.0,10,5,Malm,Ukraine,Armenia,Netherlands,Denmark,Georgia,Moldova,Norway,Belgium,Greece,Azerbaijan
Spain,Contigo Hasta El Final,ESDM,Final,2013,8.0,5,25,Malm,Malta,Moldova,Germany,United Kingdom,Norway,Russia,Azerbaijan,Denmark,Ukraine,Italy
Sweden,You,Robin Stjernberg,Final,2013,62.0,16,14,Malm,United Kingdom,Ireland,Hungary,Romania,Russia,Iceland,Belgium,Netherlands,Denmark,Norway
Ukraine,Gravity,Zlata Ognevich,Final,2013,214.0,22,3,Malm,Lithuania,Malta,Norway,Russia,Denmark,Armenia,Georgia,Moldova,Azerbaijan,Belarus
United Kingdom,Believe In Me,Bonnie Tyler,Final,2013,23.0,15,19,Malm,Ireland,Iceland,Belgium,Romania,Ukraine,Netherlands,Malta,Greece,Russia,Denmark
Armenia,Not Alone,Aram MP3,Final,2014,174.0,7,4,Copenhagen ,Denmark,Spain,San Marino,Netherlands,Switzerland,Germany,Greece,Belarus,Russia,Montenegro
Austria,Rise Like a Phoenix,Conchita Wurst,Final,2014,290.0,11,1,Copenhagen ,Norway,Iceland,Switzerland,Finland,Ukraine,Sweden,Hungary,Romania,Netherlands,Armenia
Azerbaijan,Start A Fire,Dilara Kazimova,Final,2014,33.0,3,22,Copenhagen ,Austria,Poland,San Marino,Greece,Malta,Romania,Belarus,Hungary,Ukraine,Russia
Belarus,Cheesecake,Teo,Final,2014,43.0,2,16,Copenhagen ,Romania,Netherlands,Azerbaijan,Norway,Hungary,Greece,Poland,Ukraine,Armenia,Russia
Denmark,Cliche Love Song,Basim,Final,2014,74.0,23,9,Copenhagen ,Ukraine,Armenia,Hungary,Finland,Iceland,Norway,United Kingdom,Austria,Netherlands,Sweden
Finland,Something Better,Softengine,Final,2014,72.0,18,11,Copenhagen ,France,Ukraine,Malta,Armenia,Hungary,Denmark,Norway,Netherlands,Sweden,Austria
France,Moustache,TWIN TWIN,Final,2014,2.0,14,26,Copenhagen ,Italy,Norway,Denmark,Sweden,Poland,Spain,Iceland,Netherlands,Austria,Armenia
Germany,Is It Right,Elaiza,Final,2014,39.0,12,18,Copenhagen ,Spain,Iceland,Switzerland,Finland,Norway,Armenia,Austria,Denmark,Poland,Netherlands
Greece,Rise Up,Freaky Fortune feat. RiskyKidd,Final,2014,35.0,10,20,Copenhagen ,Poland,Sweden,Norway,Switzerland,Ukraine,Hungary,Armenia,Netherlands,Russia,Austria
Hungary,Running,András Kállay-Saunders,Final,2014,143.0,21,5,Copenhagen ,Switzerland,Ukraine,Poland,San Marino,Iceland,Finland,Armenia,Sweden,Austria,Netherlands
Iceland,No Prejudice,Pollapönk,Final,2014,58.0,4,15,Copenhagen ,Norway,Armenia,Poland,United Kingdom,Finland,Hungary,Sweden,Denmark,Austria,Netherlands
Italy,La Mia Città,Emma,Final,2014,33.0,16,21,Copenhagen ,Malta,Switzerland,Greece,Netherlands,Romania,Finland,Iceland,Poland,Ukraine,Austria
Malta,Coming Home,Firelight,Final,2014,32.0,22,23,Copenhagen ,Greece,Norway,Switzerland,United Kingdom,Russia,Armenia,Sweden,Romania,Austria,Italy
Montenegro,Moj Svijet,Sergej Ćetković,Final,2014,37.0,8,19,Copenhagen ,Belarus,Austria,Sweden,Poland,Switzerland,Italy,Ukraine,Slovenia,Armenia,Hungary
Netherlands,Calm After The Storm,The Common Linnets,Final,2014,238.0,24,2,Copenhagen ,Denmark,Finland,Switzerland,Hungary,Malta,Iceland,Armenia,Sweden,Norway,Austria
Norway,Silent Storm,Carl Espen,Final,2014,88.0,5,8,Copenhagen ,Denmark,Poland,United Kingdom,Romania,Spain,Iceland,Finland,Sweden,Austria,Netherlands
